post_shortcode,commenter_username,comment_text,comment_likes
C3M2SPJuXAI,<Profile anuragggsinghh (53173764760)>,Mohit Sir :folded_hands_light_skin_tone::smiling_face_with_heart-eyes:,1
C3M2SPJuXAI,<Profile lalitkohli02 (21939891250)>,Sir ki Awaaz me sukoon hai yaar,1
C3M2SPJuXAI,<Profile thephotovoyage (58169221631)>,All time fav :green_heart::green_heart::peace_symbol:what a song..!!,1
C3M2SPJuXAI,<Profile kanchan_0008 (2332543985)>,:red_heart:,1
C3M2SPJuXAI,<Profile masterchefaditibhutiamadan (35160710713)>,It's so beautiful :pleading_face::pleading_face::pleading_face::pleading_face:,8
C3M2SPJuXAI,<Profile neelrajpoot_himalayanroots_ (3193468960)>,:fire::fire::red_heart:,1
C3M2SPJuXAI,<Profile arathyprathaps24 (56687669813)>,:red_heart::red_heart::red_heart:,1
C3M2SPJuXAI,<Profile asmitpanda._ (3123228156)>,:red_heart:,1
C3M2SPJuXAI,<Profile ma_noj2721 (10599582546)>,:red_heart::red_heart::red_heart:,1
C3M2SPJuXAI,<Profile harsing_rongpi (7304414395)>,The Living Legend :people_hugging: :smiling_face_with_open_hands: :open_hands: :folded_hands_light_skin_tone::bouquet::sunflower::smiling_face_with_hearts::smiling_face_with_heart-eyes::star-struck::confetti_ball::OK_hand::heart_suit::party_popper::red_heart::hundred_points: :musical_notes: :musical_note: :stop_button: :banjo: :musical_score: :guitar: :guitar: :guitar: :red_heart:,1
C3M2SPJuXAI,<Profile the_himalayan_soull (186594536)>,My hero is getting old..!! :pleading_face: live long Sir.. :red_heart::red_heart:,26
C3M2SPJuXAI,<Profile dubeygopaalofficial07 (3966408512)>,Rockstar :fire:,1
C3M2SPJuXAI,<Profile tushar_thapa___ (63269099737)>,Sat,1
C3M2SPJuXAI,<Profile thephotovoyage (58169221631)>,The voice of mountains :green_heart::fire:,2
C3M2SPJuXAI,<Profile _whos_harshit_ (46412782941)>,:red_heart::raising_hands::fire:,1
C3M2SPJuXAI,<Profile __ankuu.____ (48770174416)>,:red_heart::red_heart::red_heart:,1
C3M2SPJuXAI,<Profile p_biizzle (5563464538)>,GREATEST OF ALL TIME !!!!!!!!!!!!!!! :fire:,3
C3M2SPJuXAI,<Profile fantadina (4017244369)>,:red_heart:,1
C3M2SPJuXAI,<Profile _anonymous.__.i (3308008157)>,:red_heart:,1
C3M2SPJuXAI,<Profile shubh_chaturvedi1 (5446141149)>,:red_heart::red_heart:,1
C3M2SPJuXAI,<Profile lies.slh (49228288870)>,:red_heart::red_heart::red_heart:,1
C3M2SPJuXAI,<Profile euphoric_pang (6289253872)>,Pahadon ki ek aatma hoti hai Bhaiya or vo aapki aawaz me hain :red_heart::folded_hands:,15
C3M2SPJuXAI,<Profile vr.enzom (48347244819)>,this song touched my heart:red_heart: can't wait for 2nd,4
C3M2SPJuXAI,<Profile alisha.rizvi96 (53382909491)>,:fire::fire:,2
C3M2SPJuXAI,<Profile _vikram_chauhan___ (62611821425)>,Nice,2
C3M2SPJuXAI,<Profile unplugged_priyanka (54787291181)>,So beautiful :green_heart::red_heart:,2
C3M2SPJuXAI,<Profile raman_vaidya__ (7189607792)>,Why you're getting old :pleading_face::pleading_face::pleading_face::pleading_face::broken_heart::broken_heart::broken_heart:,7
C3M2SPJuXAI,<Profile suryasuraj_paliwal (12539039756)>,Kk And Mohit Chauhan favourite forever :red_heart:,37
C3M2SPJuXAI,<Profile neerajprem_antil.3510 (45384138231)>,Love from Haryana :clapping_hands::clapping_hands::clapping_hands:,5
C3M2SPJuXAI,<Profile shruti_raghuvanshi_ (5598969465)>,Sukoon wali awaaz :pinched_fingers_light_skin_tone::pleading_face::two_hearts:,11
C3M2SPJuXAI,<Profile anandnairkollam (4200875320)>,Ageing gracefully,1
C3M2SPJuXAI,<Profile khanna_luv (4515800404)>,pahardo ki ek hi awaz sirf mohit chuahan:red_heart::red_heart::red_heart::star-struck::star-struck::star-struck::sparkles::sparkles::sparkles::sparkles::sparkles::red_heart::red_heart::red_heart::red_heart::red_heart:,7
C3M2SPJuXAI,<Profile _harshit_gupta_00 (8524185354)>,:red_heart:,1
C3M2SPJuXAI,<Profile wingstomind (13810067490)>,Beautiful :red_heart::red_heart::red_heart: the Mongolian throat parts :OK_hand::Mongolia:,8
C3M2SPJuXAI,<Profile __ak1947__ (4272117808)>,Love you sir :clapping_hands::red_heart:,1
C3M2SPJuXAI,<Profile amit.just_me (3446902576)>,Amit,1
C3M2SPJuXAI,<Profile d_a_n_g_i_s_h_a_b_h (58376588343)>,Jai ho sir,1
C3M2SPJuXAI,<Profile vipul8993.pateliya (4179583290)>,Love you 3000 Mohit sir:fire:,1
C3M2SPJuXAI,<Profile r_o_c_k_star_882 (12881865104)>,Rocking star back,1
C3M2SPJuXAI,<Profile adhikariparas11 (6696389689)>,:red_heart:,1
C3M2SPJuXAI,<Profile anuragsangwan06 (44818176532)>,:red_heart::red_heart::red_heart::red_heart:,1
C3M2SPJuXAI,<Profile mr_kailas_patel22 (47351564652)>,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::raising_hands::red_heart::red_heart::red_heart::red_heart:,1
C3M2SPJuXAI,<Profile weedyrat (44595581159)>,:red_heart::red_heart::red_heart::red_heart:,1
C3M2SPJuXAI,<Profile ripondas2822 (61900376091)>,:red_heart::red_heart::red_heart::red_heart::red_heart:,1
C3M2SPJuXAI,<Profile anuragsangwan06 (44818176532)>,:fire::fire::fire:,1
C3M2SPJuXAI,<Profile anuragsangwan06 (44818176532)>,:musical_note: :musical_notes: :musical_note: :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,1
C3M2SPJuXAI,<Profile jyonmishra (6213856343)>,:red_heart:,1
C3M2SPJuXAI,<Profile ayan_man777 (5611041133)>,Love you team imtiaz sir,1
C3M2SPJuXAI,<Profile kushlthakur2233 (3008575447)>,:red_heart::red_heart::red_heart::clapping_hands:,1
C3M2SPJuXAI,<Profile essa_exp (4864518001)>,:red_heart::raising_hands::red_heart:,1
